Planet,Host Star,Orbital Period (days),Planet Radius (Earth radii),Planet Mass (Earth masses),Equilibrium Temp (K),Semi-Major Axis (AU),Eccentricity ,Stellar Temp (K),Stellar Radius (Solar radii) , Stellar Mass (Solar masses) 
EPIC 220674823 c,EPIC 220674823,13.3397,2.5,5.8,774,0.105,0.18,5470,0.869,0.945
EPIC 229004835 b,EPIC 229004835,16.141132,2.332,10.4,804,0.1237,0.23,5868,0.999,0.97
EPIC 201595106 b,EPIC 201595106,0.87724,1.565,7.67,2038,0.0177,0,5679,0.98,0.958
Kepler-433 b,Kepler-433,5.33408384,16.25,896.24,1776,0.0679,0.119,6360,2.26,1.46
CoRoT-25 b,CoRoT-25,4.86069,12.11,85.81,1330,0.0578,0,6040,1.19,1.09
Kepler-101 c,Kepler-101,6.02976,1.25,3.78,1413,0.0684,0,5667,1.56,1.17
TIC 46432937 b,TIC 46432937,1.44044527,13.31626907,1017.050902,872,0.02065,0.009,3572,0.5299,0.563
K2-33 b,K2-33,5.42513,5.76,1144.188,850,0.0409,0,3410,1.1,0.31
Kepler-103 b,Kepler-103,15.9653287,3.486,9.8,973,0.13223,0.093,6009,1.492,1.212
K2-233 d,K2-233,24.3681,2.363,10.3,525,0.1516,0.18,4796,0.71,0.79
Kepler-20 c,Kepler-20,10.854092,3.07,16.1,713,0.093,0.4,5455,0.944,0.912
Kepler-1654 b,Kepler-1654,1047.8356,9.180171,158.915,206,2.026,0.26,5597,1.179,1.011
HD 88986 b,HD 88986,146.05,2.49,17.2,460,0.58,0.24,5861,1.543,1.25
K2-139 b,K2-139,28.38236,9.056872,123.00021,565,0.179,0.12,5340,0.862,0.919
Kepler-87 c,Kepler-87,191.2318,6.14,6.4,403,0.676,0.039,5600,1.82,1.1
NGTS-26 b,NGTS-26,4.5199279,14.88552637,92.80589484,1331,0.049,0,5550,1.16,0.96
Kepler-539 b,Kepler-539,125.63243,8.373123,308.2951,387.6,0.4988,0.39,5820,0.952,1.048
EPIC 249893012 c,EPIC 249893012,15.624,3.67,14.67,990,0.13,0.07,5430,1.71,1.05
TIC 4672985 b,TIC 4672985,69.048,11.5004142,4049.133905,517.2,0.33,0.018,5757,1.15,1.01
PH1 b,PH1,138.317,6.18,169,481,0.652,0.0702,6407,1.734,1.528
HD 224018 d,HD 224018,138.0731,2.4,4.2,411,0.53,0.04,5784,1.147,1.013
EPIC 249893012 d,EPIC 249893012,35.747,3.94,10.18,752,0.22,0.15,5430,1.71,1.05
CoRoT-36 b,CoRoT-36,5.616531,15.80466279,216.1233168,1567,0.066,0,6730,1.52,1.32
HD 224018 c,HD 224018,36.57669,2.42,10.4,641,0.217,0.02,5784,1.147,1.013
KOI-3680 b,KOI-3680,141.241671,11.09691,613.4119,347,0.534,0.496,5830,0.96,1.01
Kepler-20 f,Kepler-20,19.578328,0.952,1.4,681,0.1387,0.094,5495,0.9164,0.929
CoRoT-24 c,CoRoT-24,11.759,5,28,850,0.098,0,4950,0.86,0.91
CoRoT-7 b,CoRoT-7,0.85359159,1.585,5.74,1756,0.017016,0,5259,0.82,0.913
Kepler-138 b,Kepler-138,10.3134,0.64,0.07,452,0.0753,0.02,3841,0.535,0.535
Kepler-1876 b,Kepler-1876,6.99205,0.853,2.4,1299,0.0758,0.098,6104,1.477,1.187
Kepler-46 b,Kepler-46,33.60134,9.057,1907,543,0.1968,0.01,5155,0.938,0.902
HD 224018 b,HD 224018,10.6413,0.91,4.1,968,0.0952,0.06,5784,1.147,1.013
Kepler-117 b,Kepler-117,18.7959228,8.059,29.875,984,0.1445,0.0493,6150,1.606,1.129
